procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2328 10623012   4980  55252    0  393    16  1152   20   32  0  0 99  0  0
 0  0   2328 10315340   4980  55252    0    0     0  4096    6   37  0  1 99  0  0
 0  0   2328 10007416   4980  55252    0    0     0  2048    5   32  0  1 99  0  0
 0  0   2328 9699744   4980  55252    0    0     0  2048    3   40  0  1 99  0  0
 0  0   2328 9391804   4988  55492    0    0     0  2060   11   53  0  1 99  0  0
 0  0   2328 9084132   4988  55492    0    0     0  2048    6   30  0  1 99  0  0
 0  0   2328 8776208   4996  55484    0    0     0  2072    9   54  0  1 99  0  0
 1  0   2328 8642584   4996  55484    0    0     0  2048    4   25  0  0 100  0  0
 0  0   2328 8468536   4996  55484    0    0     0  4096    5   39  0  0 99  0  0
 1  0   2328 8160864   4996  55484    0    0     0  2048    8   39  0  1 99  0  0
 0  0   2328 7852688   5004  55476    0    0     0  2060    8   45  0  1 99  0  0
 0  0   2328 7545016   5004  55476    0    0     0  2052    2   35  0  1 99  0  0
 0  0   2328 7237344   5012  55492    0    0     0  2060   11   55  0  1 99  0  0
 0  0   2328 6929420   5012  55492    0    0     0  2048    3   30  0  1 99  0  0
 0  0   2328 6621748   5012  55492    0    0     0  2048    4   37  0  1 99  0  0
 0  0   2328 6313824   5012  55492    0    0     0  4096    6   36  0  1 99  0  0
 0  0   2328 6006152   5020  55484    0    0     0  2060    8   48  0  1 98  0  0
 1  0   2328 5911440   5020  55484    0    0     0  2048    2   28  0  0 100  0  0
 0  0   2328 5698228   5028  55476    0    0     0  2060    8   46  0  1 99  0  0
 0  0   2328 5390304   5028  55484    0    0     0  2048    9   48  0  1 98  0  0
 0  0   2328 5082124   5028  55484    0    0     0  2048   75  189  0  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2328 4774200   5028  55496    4    0     8  2048  382  831  0  2 98  0  0
 0  0   2328 4466276   5028  55496    0    0     0  2048    5   34  0  1 99  0  0
 0  0   2328 4158604   5036  55496    0    0     0  4108    9   56  0  1 98  0  0
 0  0   2328 3850680   5044  55496    0    0     0  2060    9   48  0  1 99  0  0
 0  0   2328 3542756   5044  55496    0    0     0  2048    4   39  0  2 98  0  0
 1  0   2328 3322872   5044  55496    0    0     0  2048   14   56  0  1 99  0  0
 0  0   2328 3235092   5044  55496    0    0     0  2048    2   30  0  0 100  0  0
 0  0   2328 2927168   5044  55496    0    0     0  2048    4   35  0  1 99  0  0
 0  0   2328 2619496   5052  55488    0    0     0  2060   41  118  1  1 98  0  0
 0  0   2328 2311572   5060  55480    0    0     0  4108   13   63  0  1 99  0  0
 0  0   2328 2003648   5060  55480    0    0     0  2052    4   38  0  1 99  0  0
 0  0   2328 1695724   5060  55480    0    0     0  2048    3   34  0  1 99  0  0
 0  0   2328 1387800   5060  55480    0    0     0  2048    4   31  0  1 98  0  0
 0  0   2328 1080128   5060  55480    0    0     0  2048    4   30  0  2 98  0  0
 1  0   2328 918084   5068  55472    0    0     0  2060    8   47  0  1 99  0  0
 1  0   2328 860268   5076  55500    0    0     0  2084   10   54  0  1 99  0  0
 0  0   2328 772488   5076  55500    0    0     0  4096    6   45  0  0 99  0  0
 1  0   2328 472472   5076  55500    0    0     0  2048    5   68  0  2 98  0  0
 1  0   2328 472472   5076  55500    0    0     0  2048    1  135  0  0 100  0  0
 1  0   2328 470424   5076  55500    0    0     0  2048    5  122  0  0 100  0  0
 0  0   2328 464820   5084  55492    0    0     0  2060   17  100  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2328 157144   5092  55500    0    0     0  2060   11   55  0  2 98  0  0
 2  0 264108 113796   4748  21544    0 261676     8 271916  843 3896  0  1 75 24  0
 1  1 496704 110424   4660  21492    0 232192     0 234256  449 2331  0  3 77 20  0
 0  0 727244 156404   4616  22612   20 230540    20 232600  427 1915  0  2 98  0  0
 0  2 2332768 111096   4396  26068    8 1605152     8 1607200 5576 25269  1 14 82  4  0
 0  0 2657920 179896   4336  27028    0 325272     0 327320  435 2060  0  3 97  0  0
 0  0   2632 11287600    292  19368   60 490012  2132 492060 1733 8523  0 10 89  1  0
 0  0   2632 11287288    292  19312    0    0   128  2048    9   45  0  0 100  0  0
